Entity,Code,Year,Age group: 15-24 years of age,Age group: 25-34 years of age,Age group: 35-44 years of age,Age group: 55-64 years,Age group: 75-84 years, Age group: 65-74 years,Age group: 45-54 years,Age group: 85+ years of age
Kazakhstan,KAZ,2019,16.98,20.72,31.28,22.29,38.43,24.11,26.79,111.48
Kenya,KEN,2019,3,5.38,11.44,23.78,58.84,35.81,18.82,158.52
Kiribati,KIR,2019,52.39,53.62,44.11,25.56,26.65,23.82,24.79,50.3
Kuwait,KWT,2019,2.15,3.44,4.18,3.78,4.8,3.88,3.99,22.04
Kyrgyzstan,KGZ,2019,9.52,7.72,14.05,9.84,16.36,11.34,11.63,29.83
Laos,LAO,2019,7.63,8.16,7.09,7.94,11.09,9.6,7.01,24.72
Latvia,LVA,2019,10.01,22.22,24.46,26.71,26.93,21.48,28.85,25.59
Lebanon,LBN,2019,3.6,3.95,3.34,3.74,5.22,4.42,3.1,9.08
Lesotho,LSO,2019,34.04,83.93,188.16,130.92,107.54,107.1,201.61,166.96
Liberia,LBR,2019,2.92,4.49,5.86,14.72,41.86,29.36,9.12,132.24
Libya,LBY,2019,4.05,6.6,7.7,5.34,5.63,5.55,6.69,10.66
Lithuania,LTU,2019,13.19,26.45,29.97,35.57,35.64,38.45,30.88,32.03
Luxembourg,LUX,2019,5.25,6.44,11.87,19.61,24.62,19.49,13.8,20.04
Madagascar,MDG,2019,3.43,4.76,6.45,21.7,48.38,33.38,13.49,100.87
Malawi,MWI,2019,4.16,5.65,6.67,25.45,61.75,42.95,14.32,173.48
Malaysia,MYS,2019,4.03,6.35,6.28,10.52,20.65,15.56,7.38,36.71
Maldives,MDV,2019,3.19,3.76,2.02,3.15,12.2,6.94,2.28,27.51
Mali,MLI,2019,2.89,4.04,6.09,18.22,40.03,29.48,11.7,115.69
Malta,MLT,2019,3.65,7.05,10.7,6.79,5.47,3.34,10.38,9.88
Mauritania,MRT,2019,1.79,2.95,3.63,12.38,35.85,23.67,5.81,87.12
Mauritius,MUS,2019,13.65,14.07,13.16,4.74,5.45,11.87,11.79,9.16
Mexico,MEX,2019,7.08,7.45,7.91,5.14,7.83,5.67,6.27,10.03
Micronesia (country),FSM,2019,45.32,54.11,40.78,25.98,27.8,26.29,23.6,66.43
Moldova,MDA,2019,8.87,11.9,16.04,27.04,15.3,17.36,24.08,18.4
Mongolia,MNG,2019,20.1,33.54,30.02,15.16,14.41,13.3,23.17,26.81
Montenegro,MNE,2019,11.16,14.62,18.65,33.98,52.4,38.49,25.65,94.67
Morocco,MAR,2019,7.99,8.71,10.93,10.76,11.56,11.87,10.17,28.45
Mozambique,MOZ,2019,11.67,18.96,25.23,49.43,89.76,61.22,38.34,246.09
Myanmar,MMR,2019,3.39,4.03,3.74,4.06,6.42,5.46,3.31,12.59
Namibia,NAM,2019,7.77,9.45,18.28,26.47,38.01,27.88,29.07,72.22
Nepal,NPL,2019,11.26,9.82,10.08,18.37,21.06,17.28,15.6,37.38
Netherlands,NLD,2019,6.37,10.51,12.58,18.46,16.47,14.01,17.37,19.54
New Zealand,NZL,2019,12.53,15.06,14.25,13.87,10.83,8.24,15.24,12.54
Nicaragua,NIC,2019,6.99,4.65,4.39,8.08,8.67,9.08,5.09,9.79
Niger,NER,2019,3.24,4.5,6.75,23.78,51.89,39.88,14.27,170.41
Nigeria,NGA,2019,1.83,3.16,4.33,14.65,49.62,29.62,6.84,201.08
North Korea,PRK,2019,6.03,7.4,8.1,18.95,26.97,22.64,11.13,64.94
North Macedonia,MKD,2019,2.96,7.03,6.76,14.45,25.43,20.17,12.38,58.64
Norway,NOR,2019,7.74,13.2,13.41,18.14,13.92,13.69,17.03,14.18
Oman,OMN,2019,9.77,7.03,4.57,3.3,9.5,5.27,3.25,16.06
Pakistan,PAK,2019,13.15,17.07,13.28,9.28,12.58,9.03,10.97,28.89
Panama,PAN,2019,3.29,3.35,2.76,5.65,7.16,4.8,3.31,8.83
Papua New Guinea,PNG,2019,2.98,4.03,5.95,5.88,6.13,7.05,4.7,13.98
Paraguay,PRY,2019,9.26,8.16,6.09,8.79,7.16,9.84,6.7,10.04
Peru,PER,2019,3.23,4.1,3.6,3.43,4.64,3.98,3.28,6.27
Philippines,PHL,2019,1.98,3.01,2.72,2.84,9.33,4.81,2.63,19.24
Poland,POL,2019,8.54,12.05,12.28,17.86,11.71,13.35,15.35,13.48
Portugal,PRT,2019,2.93,6.34,8,14.99,26.89,16.79,15.14,31.84
Qatar,QAT,2019,6.94,7.33,7.48,3.03,10.27,4.65,5.3,22.26
Romania,ROU,2019,4.66,6.3,9.9,15.34,14.91,14.52,14.92,22.02
Russia,RUS,2019,17.81,26.86,40.67,28.27,34.08,27.77,34.43,58.6
Rwanda,RWA,2019,3.56,5.17,6.68,21.54,51.86,33.23,13.86,82.7
Saint Lucia,LCA,2019,4.84,7.76,10.22,11,20.68,13.35,9.69,30.1
Saint Vincent and the Grenadines,VCT,2019,1.32,0.91,1.72,0,3.06,0,0,0
Samoa,WSM,2019,24.29,23.27,18.9,14.42,19.07,15.7,11.84,40.15
Sao Tome and Principe,STP,2019,1.57,2.07,2.37,4.39,6.68,5.83,3.23,14.19
Saudi Arabia,SAU,2019,3.88,8.77,10.01,7.2,5.59,5.96,8.56,9.72
Senegal,SEN,2019,3.61,5.72,7.12,25.28,67.8,45.19,13.75,205.02
Serbia,SRB,2019,2.66,6.43,10.39,15.14,35.61,18.84,13.25,61.37
Seychelles,SYC,2019,7.59,11.64,10.48,10.34,15.84,12.83,10.37,19.21
Sierra Leone,SLE,2019,3.73,6.37,10.41,26.16,50.64,39.86,17.88,125.08
Singapore,SGP,2019,12.92,14.26,10.85,13.88,17.86,12.02,10.36,32.18
Slovakia,SVK,2019,5.67,8.68,11.93,19.64,18.74,17.41,19.64,25.85
Slovenia,SVN,2019,7.67,15.24,16.73,25.53,38.03,34.69,24.57,35.81
Solomon Islands,SLB,2019,24.22,31.02,25.99,16.54,18.06,16.03,16.83,36.99
Somalia,SOM,2019,5.35,7.37,12.78,37.97,63.69,50.3,23.69,153.92
South Africa,ZAF,2019,13.57,47.27,47.86,21.54,20.08,16.92,34.71,54.18
South Korea,KOR,2019,14.28,22.4,29.45,37.1,69.89,38.18,34.4,113.26
South Sudan,SSD,2019,2.45,3.39,4.8,12.81,46.81,27.3,8.16,114.18
Spain,ESP,2019,2.71,4.87,7.18,10.3,16.22,10.26,10.24,13.57
Sri Lanka,LKA,2019,14.08,12.77,13.18,21.93,38.87,32.42,17.14,43.44
Sudan,SDN,2019,5.3,7.37,6.8,5.7,6.98,6.31,5.72,15.12
Suriname,SUR,2019,15.59,46.16,25.75,50.54,72.66,47.26,29.76,131.61
Sweden,SWE,2019,10.98,19.48,16.12,19.86,19.09,16.3,17.97,24.37
Switzerland,CHE,2019,6.55,7.83,10.47,21.03,32.36,21.15,17.66,35.77
Syria,SYR,2019,2.25,2.95,2.83,2.84,3.44,3.09,2.74,6.07
Tajikistan,TJK,2019,5,6.38,8.1,7.32,12.51,9.1,7.64,28.46
Tanzania,TZA,2019,3.27,4.82,6.15,17.65,50.18,31.53,9.95,159.87
Thailand,THA,2019,6.84,15.66,11.9,8.48,13.85,11.69,8.22,18.54
Togo,TGO,2019,5.31,9.09,13.71,33.56,66.19,50.79,24.5,220.89
Tonga,TON,2019,5.92,5.52,4.95,6.38,10.22,7.53,4.33,19.92
